name,description,categories,vendor_name,total_installs,total_reviews,has_free_trial,is_paid,is_free,support_status,is_jira_service,link,pricing_cloud_1,pricing_cloud_2,pricing_server_1,pricing_server_2,pricing_server_3,pricing_server_4,pricing_server_5
Time in Status,"Identify bottlenecks in your process by reporting on how much time each issue spent on each status, each assignee or each group","IT & helpdesk, Project management, Reports, Time tracking",OBSS,"2,178",40,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1211756/time-in-status?hosting=cloud&tab=overview,$5,$0.7,$10,$150,$250,$350,$650
Work Time Calendar for Jira,"Planning and tracking your own and team time, report generation, calendar export, conditional colors, and much more","Dashboard gadgets, Project management, Time tracking",BrizoIT,"1,683",62,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1213545/work-time-calendar-for-jira?hosting=cloud&tab=overview,$5,$0.6,$10,$100,$300,$500,$700
Automated Log Work for Jira,Never enter worklogs manually again. Track time seamlessly and precisely,"Project management, Reports, Time tracking, Workflow",Gebsun,"2,273",97,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1211125/automated-log-work-for-jira?hosting=cloud&tab=overview,$5,$0.55,$10,$50,$100,$200,$400
Worklogs - Time Tracking and Reports,Time reports and time tracking for members of your team done in an easy and flexible way,"Dashboard gadgets, Project management, Reports",SolDevelo,"1,441",45,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1219004/worklogs-time-tracking-and-reports?hosting=cloud&tab=overview,$2.5,$0.4,$10,$160,$300,$550,"$1,100"
Issue History Collector | See History,"Jira ticket tracking & monitoring, bug tracking, export ticket history, project statistics, see history of issues","Custom fields, IT & helpdesk, Project management",Cprime,"1,556",32,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1211499/issue-history-collector-see-history?hosting=cloud&tab=overview,$1.25,$0.6,$10,$25,$50,$100,$200
Links Hierarchy Jira+Agile,Explore Agile hierarchy in a flexible way with powerful calculations and analytics at scale,"Charts & diagramming, Project management, Testing & QA",Marketplace Expert SL,"1,172",22,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1211022/links-hierarchy-jira-agile?hosting=cloud&tab=overview,$4,$0.4,$10,$100,$250,$500,"$1,000"
My.com Calendar,Browse issues and create events in calendar format,"Dashboard gadgets, Time tracking",My.com,897,258,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1211040/my-com-calendar?hosting=server&tab=overview,,,$20,$500,"$1,000","$1,500","$3,000"
Capacity Tracker,"Manage your team workload, easily – For Scrum & Kanban","Project management, Tasks, Time tracking, Utilities",Inprowiser Engineering,"1,117",19,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1218151/capacity-tracker?hosting=cloud&tab=overview,$5,$0.5,$10,$130,$270,$460,$950
Clockwork Automated Timesheets Pro,Easiest and precise time tracking. Log work automatically. Overview your team with powerful reports. Tempo alternative,"Project management, Reports, Time tracking, Workflow",HeroCoders,816,33,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1219213/clockwork-automated-timesheets-pro?hosting=cloud&tab=overview,$5,$0.8,,,,,
Cost Tracker for Tempo Timesheets,Simple and effective project cost and revenue tracking for Tempo Timesheets with clear overview of all your projects and budgeting,"Project management, Reports, Time tracking, Utilities",Tempo for JIRA,"1,037",12,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1221748/cost-tracker-for-tempo-timesheets?hosting=cloud&tab=overview,$10,$1.75,,,,,
