name,description,categories,vendor_name,total_installs,total_reviews,has_free_trial,is_paid,is_free,support_status,is_jira_service,link,pricing_cloud_1,pricing_cloud_2,pricing_server_1,pricing_server_2,pricing_server_3,pricing_server_4,pricing_server_5
Toggl integration for Jira,Time track with ease,"Dashboard gadgets, Time tracking",Comerge AG,106,10,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1211335/toggl-integration-for-jira?hosting=server&tab=overview,,,$10,$300,$550,"$1,000","$3,000"
Status Time,"Create reports for time spent on each status or assignee e.g. lead/cycle time, sum/average time in status, status transition count","IT & helpdesk, Monitoring, Time tracking",Bloompeak,89,8,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1221826/status-time?hosting=cloud&tab=overview,$3,$0.65,$10,$100,$200,$300,$600
xPort - Custom Worklog Export for Jira,Export worklogs in Jira to Excel,"Reports, Time tracking",Decadis AG,106,4,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1215632/xport-custom-worklog-export-for-jira?hosting=server&tab=overview,,,$10,$120,$220,$400,$800
Log work as another user for Jira,Log work as another user and keep time tracking updated,Time tracking,Sistel SL,141,4,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1217264/log-work-as-another-user-for-jira?hosting=server&tab=overview,,,$10,$25,$50,$100,$250
Agile Remaining Estimate Counter,Ensure your sprint commitments easily by monitoring correct remaining estimates right at Jira Agile Boards,"Monitoring, Project management, Time tracking",Rozdoum,88,6,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1214286/agile-remaining-estimate-counter?hosting=cloud&tab=overview,$8,$0.75,$30,$220,$400,$750,"$1,500"
Status History,"Analyze the history of statuses and users changes in time, using interactive table and timeline, on demand, directly on your issue","Project management, Time tracking",Lime Trees,130,1,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1217781/status-history?hosting=server&tab=overview,,,$10,$12,$17,$25,$70
Workboard,Get freedom in defining HOW to do your work. Visualize Sprint Backlog and subtasks in a form of a Agile Whiteboard,"Project management, Time tracking, Utilities",2000BC,81,7,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1218179/workboard?hosting=cloud&tab=overview,$10,$3,$10,$450,$800,"$1,500","$3,000"
Quantify TimeSpent,"Meet the lean time tracking approach, a better alternative to manual work logging. Solution for Capex, SRED, Agile KPIs and more","Dashboard gadgets, Reports, Time tracking, Workflow",Quantify Technologies Inc.,873,17,Get it now,,Free app,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1218809/quantify-timespent?hosting=cloud&tab=overview,,,,,,,
Planyway Roadmaps for Jira,Simple project planning and resource management tool for Jira,"Charts & diagramming, Project management, Shared workflows",Planyway for Jira,85,3,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1221297/planyway-roadmaps-for-jira?hosting=cloud&tab=overview,$10,$2,,,,,
Reopening Counter for Jira,Reopening counter for Jira identifies problematic issues in projects. Highlights possible improvement points in a team,"Project management, Testing & QA, Time tracking",Rozdoum,94,11,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1212789/reopening-counter-for-jira?hosting=cloud&tab=overview,$5,$0.5,$10,$25,$50,$100,$250
Octo - Components Management for Jira,"Introducing cross-project sync, component versions and releases, merging components","Project management, Reports, Tasks, Time tracking",Jexo,82,3,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1221419/octo-components-management-for-jira?hosting=cloud&tab=overview,$8,$0.8,,,,,
Chronos -Timetracking System for Jira,"Seamless time tracking and reports, bundled with native desktop app. Cross-platform. Simple. Fully integrated","Reports, Time tracking, Workflow",WebPal,110,6,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1216398/chronos-timetracking-system-for-jira?hosting=cloud&tab=overview,$10,$2.5,$100,$800,"$1,500","$2,750","$5,500"
Quartz - Time Tracking for Jira,"Advanced Jira Time Tracking: Powerful time reports, painless time entry, custom attributes, approval process, timeport integration",Time tracking,The Digital Group Inc,74,9,Get it now,,Free app,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1219938/quartz-time-tracking-for-jira?hosting=cloud&tab=overview,,,,,,,
Hours Reports (Work Log Time Reports),"Timesheets of logged hours by Employee, Project, Issue Type. Set up hourly rates, extract timesheets and spendings in Excel","Admin tools, Monitoring, Project management,",Obi Wan Soft LLC,102,4,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1219348/hours-reports-work-log-time-reports?hosting=cloud&tab=overview,$5,$0.5,,,,,
Timesheet Export for Jira,"Time tracking spreadsheet exports for Excel & Google Drive, plus time tracking for next-gen projects","Project management, Reports, Time tracking",Wruff,127,2,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1218992/timesheet-export-for-jira?hosting=cloud&tab=overview,$4.75,$0.55,,,,,
Hourglass Time Tracking for Jira,Simple and seamless one-click time tracking + helpful dashboard gadget,"Dashboard gadgets, Monitoring, Time tracking,",LunarLincoln,88,3,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1217344/hourglass-time-tracking-for-jira?hosting=cloud&tab=overview,$4,$2,,,,,
Service Desk Reporter,Detailed lists or grouped Success Ratio reports on Jira Service Desk SLA Metrics,"IT & helpdesk, Reports, Time tracking",OBSS,71,4,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1213874/service-desk-reporter?hosting=server&tab=overview,,,$10,$80,$100,$150,$300
Agile Tools – Epic Tree & Time in Status,View Epic Sum/Hierarchy with rolled up estimates report for epics and track your issues with their time in status,"Project management, Reports, Time tracking",RVS,10,1,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1223200/agile-tools-epic-tree-time-in-status?hosting=cloud&tab=overview,$5,$0.5,$10,$100,$200,$500,$800
TROCK Timetracking Overview And Logging,"Have an overview of all your logged time, and log work easily",Time tracking,Johannes Heger,613,9,Get it now,,Free app,,,https://marketplace.atlassian.com/apps/1216858/trock-timetracking-overview-and-logging?hosting=server&tab=overview,,,,,,,
TMetric - Time Tracker for Jira,Track time spent on Jira issues with one mouse click,"Time tracking, Workflow",Devart,796,7,Get it now,,Free app,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1214821/tmetric-time-tracker-for-jira?hosting=cloud&tab=overview,,,,,,,
eZee Worklog,"Most complete worklog entry manager ! Use stopwatch / timer, enter time spent or time series and manage it all on 1 gadget","Dashboard gadgets, Monitoring, Reports, Time tracking",Eyzee,547,14,Get it now,,Free app,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1219894/ezee-worklog?hosting=cloud&tab=overview,,,,,,,
Simple Reports & Charts Lite for Jira,Generate reports & charts using clickable filters/dimensions. Find issues that meet specific criteria,"Charts & diagramming, Project management, Reports",Agilis LT,972,5,Get it now,,Free app,UNSUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1219031/simple-reports-charts-lite-for-jira?hosting=cloud&tab=overview,,,,,,,
EpicTime for Jira - Sum of Worklogs,Sum up the work logs of the tiniest child issues to the epic,"Custom fields, Project management, Reports, Time tracking",Teamlead,645,7,Get it now,,Free app,SUPPORTED,,https://marketplace.atlassian.com/apps/1220287/epictime-for-jira-sum-of-worklogs?hosting=cloud&tab=overview,,,,,,,
Async Poker - Remote Planning&Estimation,Planning poker for sprint planning and estimation for distributed and remote teams,"Project management, Tasks, Time tracking, Utilities",Async Poker,409,16,Get it now,,Free app,SUPPORTED,,https://marketplace.atlassian.com/apps/1221281/async-poker-remote-planning-estimation?hosting=cloud&tab=overview,,,,,,,
Epic Sum Summary - Epic Time Stats,"Sum up your Epic's Time Spent, Original Estimate, Time Remaining, and Percent Complete. Aggregates all related tasks and subtasks","Charts & diagramming, Project management, Tasks",Heckr,46,17,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1218421/epic-sum-summary-epic-time-stats?hosting=cloud&tab=overview,$3.8,$0.35,,,,,
Toggl Time Tracking for Jira,Toggl powered time tracking right from issues in Jira,"Integrations, Time tracking",42nd,64,8,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1218840/toggl-time-tracking-for-jira?hosting=cloud&tab=overview,$5,$0.5,,,,,
Harvester Real-Time Tracking,Track time in Harvest directly from Jira,Time tracking,Strategery Solutions BVBA,83,4,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1219223/harvester-real-time-tracking?hosting=cloud&tab=overview,$8,$0.95,$10,$125,$250,$500,$800
Artezio Burndown Chart for Jira,Create burndown/burnup charts in Jira with a simple yet powerful gadget,"Dashboard gadgets, Project management, Time tracking",Artezio,589,6,Get it now,Purchase,,,,https://marketplace.atlassian.com/apps/1211584/artezio-burndown-chart-for-jira?hosting=server&tab=overview,,,,,,,
Leave Tracker,Track how your team members use their vacation and sick days yearly limits,"Admin tools, Project management, Time tracking",Alty Inc.,50,7,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1218582/leave-tracker?hosting=cloud&tab=overview,$10,$1.5,,,,,
Team Capacity Planning,Lightweight Sprint Capacity Management for Scrum projects,"Project management, Time tracking",Greenyloop,145,0,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1219329/team-capacity-planning?hosting=cloud&tab=overview,$5,$1,$10,$130,$240,$440,$880
Sum it up!,Sum up numbers from a custom field and insert the result into a field inside the parent issue,"Custom fields, Dependency management, Time tracking",Roadmap planner,63,3,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1219877/sum-it-up?hosting=cloud&tab=overview,$1,$0.5,$10,$160,$300,$550,"$1,100"
Range Estimate for Jira,Add optimistic and pessimistic estimates for Jira issues,"Custom fields, Monitoring, Project management",Rozdoum,49,2,Get it now,,Free app,,,https://marketplace.atlassian.com/apps/1219351/range-estimate-for-jira?hosting=server&tab=overview,,,,,,,
Flexible Calendar for Jira,"JIRA calendar/timeline planner for project managers, event planners, HR managers, and whoever needs a more visual calendar planner","Project management, Reports, Tasks, Time tracking",Reinwok,,6,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1222114/flexible-calendar-for-jira?hosting=datacenter&tab=overview,,,$10,$90,$180,$350,$650
Epic Time Tracking for Jira,Use epic estimates to get reliable time tracking across multiple issues,"Reports, Time tracking",Yiraphic,,3,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1220185/epic-time-tracking-for-jira?hosting=datacenter&tab=overview,,,$10,$75,$149,$295,$595
SLA Plugin for Jira,Manage your SLA for Jira-Issues,"IT & helpdesk, Project management, Reports, Time tracking",Lemon dev,32,8,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1221115/sla-plugin-for-jira?hosting=cloud&tab=overview,$5,$1,,,,,
UnView for Jira Server and Data Center,Manage work log visibility for Privacy or Compliance purposes required by Works Councils/Betriebsrat - Driven by GDPR/DSGVO,"Admin tools, Project management, Time tracking",Accxia,44,6,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1218188/unview-for-jira-server-and-data-center?hosting=server&tab=overview,,,$10,$400,$800,"$1,250","$1,850"
Everhour Time Tracking for Jira,"Everhour extends Jira with easy-to-use and accurate time tracking, budgets, reports, and more","Dashboard gadgets, Integrations, Project management",Everhour (Weavora),381,15,Get it now,Purchase,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1217523/everhour-time-tracking-for-jira?hosting=cloud&tab=overview,,,,,,,
Status Time Free,"Create reports for time spent on each status or assignee e.g. lead/cycle time, sum/average time in status, status transition count","IT & helpdesk, Monitoring, Time tracking",Bloompeak,435,6,Get it now,,Free app,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1222051/status-time-free?hosting=cloud&tab=overview,,,,,,,
Budgetizer,Budgetizer is an expense tracker for visualizing issues cost in real time,"Charts & diagramming, Project management, Reports",Ugubi.io,25,8,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1221840/budgetizer?hosting=cloud&tab=overview,$10,$1,,,,,
Status History PRO,"Analyze the history of statuses and users changes in time, using reports and interactive table and timeline","Dashboard gadgets, Project management, Reports",Lime Trees,46,3,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1217900/status-history-pro?hosting=server&tab=overview,,,$15,$25,$50,$100,$200
Artezio Kanban Board for Jira,View and manage your project/subproject/filtered tasks as the Kanban Board,"Project management, Time tracking, Workflow",Artezio,366,13,Get it now,Purchase,,,,https://marketplace.atlassian.com/apps/1211446/artezio-kanban-board-for-jira?hosting=server&tab=overview,,,,,,,
Project Status - Project Time Report,"High-level project reporting that displays totals for original estimate, time spent, & time remaining. Helps planning & management","Charts & diagramming, Dashboard gadgets, Project management",Heckr,25,8,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1217950/project-status-project-time-report?hosting=cloud&tab=overview,$1,$0.25,,,,,
Velocity & Capacity Forecast Calculator,"Get team or assignee velocity from any JQL query. Also, new velocity metric based on past estimation accuracy. Better capacity","Dashboard gadgets, Project management, Reports",Heckr,26,7,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1218025/velocity-capacity-forecast-calculator?hosting=cloud&tab=overview,$1,$0.25,,,,,
Quantify TimeSpent Pro,"Meet the lean time tracking approach, a better alternative to manual work logging. Timesheets without gaps, work without reminders","Dashboard gadgets, Project management, Reports",Quantify Technologies Inc.,28,4,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1219573/quantify-timespent-pro?hosting=cloud&tab=overview,$5,$1.5,$100,"$1,100","$2,250","$4,400","$8,800"
Toggl Synchronization for Jira,Automatic synchronization of Toggl and Jira - check out our introductory pricing,"Integrations, Project management, Time tracking","MoroSystems, s.r.o.",26,6,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1218925/toggl-synchronization-for-jira?hosting=server&tab=overview,,,$10,$10,$10,$10,$10
Crystal Gantt Pro - for JIRA,Gantt Visualization of your Tasks for better Task and Resource Management. Programs to combine Issues from multiple Projects,"Charts & diagramming, Dashboard gadgets, Project management",RadiantQ,52,1,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1220810/crystal-gantt-pro-for-jira?hosting=cloud&tab=overview,$5,$1.25,,,,,
Countdown Gadget,Keep Calm. The countdown has begun,"Dashboard gadgets, Time tracking",Akeles Consulting,,5,Get it now,,Free app,,,https://marketplace.atlassian.com/apps/1217224/countdown-gadget?hosting=datacenter&tab=overview,,,,,,,
Project Budget for Jira,Project budget management with issue worklogs,"Project management, Time tracking",CURVC Corp.,36,3,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1218792/project-budget-for-jira?hosting=server&tab=overview,,,$10,$400,$600,$900,"$1,600"
Time Tracking Stats for Jira,The fastest and easiest way to get time tracking stats for project and team management,Time tracking,excentia,33,6,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1214375/time-tracking-stats-for-jira?hosting=server&tab=overview,,,$10,$20,$40,$80,$150
WorkPlan Report,Displays issues estimated work per user over time,Time tracking,"Prime Timesheet, s.r.o",,8,Get it now,,Free app,,,https://marketplace.atlassian.com/apps/5071/workplan-report?hosting=datacenter&tab=overview,,,,,,,
TeamBoard - Resource Management for Jira,"Managing project resources, planing tasks, checking team's capacity, logging time, timesheet, reports .. All on a visual board","Project management, Reports, Time tracking, Utilities",DevSamurai,188,7,Get it now,,Free app,SUPPORTED,,https://marketplace.atlassian.com/apps/1223423/teamboard-resource-management-for-jira?hosting=cloud&tab=overview,,,,,,,
RESTful Worklog Query,Retrieve time tracking data in JSON format via an authenticated RESTful service,Time tracking,Everit Kft.,335,4,Get it now,,Free app,,,https://marketplace.atlassian.com/apps/1211179/restful-worklog-query?hosting=server&tab=overview,,,,,,,
Smart Multi Time Tracking for Jira,"Record and track your work automatically, create all worklogs at the same time","Time tracking, Utilities",APTIS GmbH,39,1,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1215612/smart-multi-time-tracking-for-jira?hosting=server&tab=overview,,,$10,$50,$100,$150,$250
Float - Resource Management,Fast resource scheduling and capacity planning for your Jira projects,"Project management, Shared workflows, Tasks,",Float,346,4,Get it now,,Free app,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1222203/float-resource-management?hosting=cloud&tab=overview,,,,,,,
Epic Timeline,Plan or track Epics in progress by visualizing them on a sprint calendar,"Admin tools, Charts & diagramming, Project management",Add-On Experts Center,30,2,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1221873/epic-timeline?hosting=cloud&tab=overview,$10,$1,$10,$110,$300,"$1,000","$2,000"
Worklog express,Quickly create and categorize cross project worklogs with custom defined worklog types,"Reports, Time tracking",END2END d.o.o.,25,3,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1222012/worklog-express?hosting=server&tab=overview,,,$10,$25,$50,$200,$500
Worklytics Data Connector,Real-time Analytics on Work and Collaboration Across all your Tools,"Integrations, Monitoring, Reports, Time tracking","Worklytics, Co",224,3,Get it now,,Free app,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1214431/worklytics-data-connector?hosting=cloud&tab=overview,,,,,,,
Hide Time Tracking for Jira Cloud,Hide time tracking information from external users,Time tracking,Gebsun,276,11,Get it now,,Free app,UNSUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1216686/hide-time-tracking-for-jira-cloud?hosting=cloud&tab=overview,,,,,,,
Timentify,Overview: Monitor time in status at a glance. Identify bottlenecks easily with Timentify,"Monitoring, Reports, Time tracking, Utilities",Ledgerify,221,8,Get it now,,Free app,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1221604/timentify?hosting=cloud&tab=overview,,,,,,,
PERT calculator,PMP® approved time tracking technique that is providing accuracy to your original estimates,"Project management, Time tracking",Obi Wan Soft LLC,22,3,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1218473/pert-calculator?hosting=cloud&tab=overview,$2,$0.2,,,,,
Usage Statistics for Jira,See your popular issues at a glance,Time tracking,Communardo Labs,226,3,Get it now,,Free app,UNSUPPORTED,,https://marketplace.atlassian.com/apps/1212244/usage-statistics-for-jira?hosting=cloud&tab=overview,,,,,,,
ContractsPro - Contract Manager for Jira,"Create contracts from Tempo Accounts, track service progress & worklogs and grow your billable hours amount using smart reporting","Project management, Reports, Tasks, Time tracking",MindPro Apps,14,9,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1221714/contractspro-contract-manager-for-jira?hosting=server&tab=overview,,,$10,$25,$50,$100,$150
Team Worklog Reports Lite,Discover work log data numbers via simple and powerfull reports,"Reports, Time tracking",Gebsun,258,1,Get it now,,Free app,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1222149/team-worklog-reports-lite?hosting=cloud&tab=overview,,,,,,,
Workfront for Jira,Drive Work Forward,"Integrations, Project management, Tasks, Time tracking",Workfront Inc.,273,8,Get it now,,Free app,SUPPORTED,,https://marketplace.atlassian.com/apps/1218653/workfront-for-jira?hosting=cloud&tab=overview,,,,,,,
Weekly Activity Gadget,Use this gadget to monitor your weekly workload,"Dashboard gadgets, Time tracking",MESILAT LIMITED,30,1,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1217418/weekly-activity-gadget?hosting=server&tab=overview,,,$100,$100,$100,$100,$100
Advanced Time Analysis for Jira,"Actionable time analysis on data like time spent, time estimated, and time remaining","Project management, Reports, Time tracking, Utilities",Heckr,18,12,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1215831/advanced-time-analysis-for-jira?hosting=cloud&tab=overview,$2.5,$1.25,,,,,
Days Elapsed Plugin,SLA tracking using Traffic Light and Number of working days elapsed,"Custom fields, Time tracking",Akeles Consulting,30,3,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1214176/days-elapsed-plugin?hosting=server&tab=overview,,,$10,$100,$150,$200,$300
Release Manager - Deployment Planning,"Forecast, plan, and monitor your releases, deployments, & projects with Release Manager and our Calculated Release Date gadget","Project management, Reports, Time tracking",Heckr,14,6,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1219071/release-manager-deployment-planning?hosting=cloud&tab=overview,$1,$0.25,,,,,
SLA Alerts Pro for Jira Service Desk,Configure SLA Alerts for breaching and breached SLA's and manage which breaches you want to receive notifications for,"IT & helpdesk, Monitoring, Time tracking",Yiraphic,,3,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1218905/sla-alerts-pro-for-jira-service-desk?hosting=datacenter&tab=overview,,,$10,$75,$149,$295,$595
TimeWise-TimeSheets and WorkLog for Jira,Used for planning and time tracking with approval. Efficient time management and fine-grained project overview with intuitive UI,"Admin tools, Project management, Reports, Time tracking",DragonSoft,,1,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1221373/timewise-timesheets-and-worklog-for-jira?hosting=datacenter&tab=overview,,,$10,$240,$960,"$1,800","$3,600"
Roadmap planner,Addon to automate roadmap planning reporting,"Charts & diagramming, Project management, Reports",Roadmap planner,25,2,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1218407/roadmap-planner?hosting=cloud&tab=overview,$5,$2.5,$10,$800,"$1,500","$2,750","$5,500"
Timescale - Time Tracking & Reports,"Brand New! Fully-Integrated, Highly Intuitive JIRA Time Tracking, Timesheets & Reports by Timescale","Reports, Time tracking",CentralPoint,20,1,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1222428/timescale-time-tracking-reports?hosting=cloud&tab=overview,$7,$0.9,,,,,
QLogger,"Add, delete and update monthly worklogs",Time tracking,OBSS,136,5,Get it now,,Free app,,,https://marketplace.atlassian.com/apps/1210801/qlogger?hosting=server&tab=overview,,,,,,,
Timecamp Time Tracking,Time tracking your team will actually use,Time tracking,TimeCamp Inc.,119,7,Get it now,,Free app,SUPPORTED,,https://marketplace.atlassian.com/apps/1219229/timecamp-time-tracking?hosting=cloud&tab=overview,,,,,,,
Timely,Timely - Time tracking and planning,Time tracking,Memory,141,4,Get it now,,Free app,SUPPORTED,,https://marketplace.atlassian.com/apps/1222369/timely?hosting=cloud&tab=overview,,,,,,,
Sprint planning for Jira - SCRUM Only,"Plan sprints viewing the team capacity and allocation, and past velocity in a single screen – SCRUM only","Project management, Time tracking, Utilities, Workflow","DiViM, Inc.",17,1,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1219264/sprint-planning-for-jira-scrum-only?hosting=cloud&tab=overview,$10,$1,,,,,
e Matrix,"Time management, project planning, priority management, personal effectiveness","Project management, Reports, Tasks, Time tracking",Geekminds,37,0,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1222580/e-matrix?hosting=cloud&tab=overview,$0.7,$0.35,$10,$90,$175,$315,$630
Domat Pomodoro for Jira,Boost your productivity with Pomodoro Technique,"Project management, Time tracking",Kod Gemisi,92,3,Get it now,,Free app,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1222375/domat-pomodoro-for-jira?hosting=cloud&tab=overview,,,,,,,
Time Tracker for Jira,Track time on projects and tasks with your team. Turn it to smart reports that keep your clients or managers in the loop,"Project management, Reports, Time tracking, Utilities",Alpha Serve,,0,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1220314/time-tracker-for-jira?hosting=datacenter&tab=overview,,,$10,$50,$150,$275,$550
Estimate Accuracy Gadget for Jira Cloud,Stylish estimate accuracy gadget for displaying how accurate your estimates were versus actual time spent,"Charts & diagramming, Dashboard gadgets, Project management",Heckr,8,6,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1217982/estimate-accuracy-gadget-for-jira-cloud?hosting=cloud&tab=overview,$1,$0.25,,,,,
WorkLog Blocker,"Restrict your work logs. Prevent log work in the past, non-estimated tasks or without work description","Admin tools, Project management, Time tracking","uniCORE, s.r.o.",12,2,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1217290/worklog-blocker?hosting=server&tab=overview,,,$10,$20,$30,$50,$100
Project Insight for Jira,Instantly connect your developers' work in Jira and your project managers' plans in Project Insight,"Project management, Reports, Tasks, Time tracking",Project Insight,109,1,Get it now,,Free app,SUPPORTED,,https://marketplace.atlassian.com/apps/1215091/project-insight-for-jira?hosting=cloud&tab=overview,,,,,,,
Worklog History,View the time logged by users in the worklog using a convenient timetable directly on the issue,"Project management, Time tracking, Utilities",Lime Trees,106,1,Get it now,,Free app,,,https://marketplace.atlassian.com/apps/1218232/worklog-history?hosting=server&tab=overview,,,,,,,
Time Tracking Enforcer for Jira,"Are you struggling with getting your team to enter their time? This is the easy, nag-free time tracking enforcement solution",Time tracking,"Calvinware, LLC",12,4,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1214040/time-tracking-enforcer-for-jira?hosting=server&tab=overview,,,$10,$120,$220,$400,$800
Agile Clock for Jira,Jira Agile Clock - Simple time measurement for agile meetings,Time tracking,CHROBRUS,73,9,Get it now,,,,,https://marketplace.atlassian.com/apps/1212948/agile-clock-for-jira?hosting=server&tab=overview,,,,,,,
Timesheet and Gantt Chart for Jira,Work hour reports Editable Grid for work hours and Gantt Chart,"Charts & diagramming, Project management, Reports",i4ware Software,15,3,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1210817/timesheet-and-gantt-chart-for-jira?hosting=server&tab=overview,,,$100,$220,$450,$880,"$1,760"
Release Board Hub,Release management planning and Time Tracking of Team members,"Project management, Reports, Time tracking",Greenyloop,29,0,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1219211/release-board-hub?hosting=cloud&tab=overview,$5,$0.5,$10,$100,$200,$400,$800
Customer Requests Workload Report,FAST and EASY way to inform customers for the time spent on their requests via the Jira Service Desk user portal,"IT & helpdesk, Reports, Time tracking",Nemetschek Bulgaria,52,7,Get it now,,Free app,,,https://marketplace.atlassian.com/apps/1217529/customer-requests-workload-report?hosting=server&tab=overview,,,,,,,
EasyTime – Automatic time tracking,"Start tracking instantly, recording time automatically and review timesheets visually. For Relaxing Times – Make it EasyTime","IT & helpdesk, Project management, Time tracking",TechTime Initiative Group Limited,26,0,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1221009/easytime-automatic-time-tracking?hosting=cloud&tab=overview,$10,$2,$10,$500,"$1,000","$2,000","$4,000"
Worklog History PRO,View the time logged by users in the JIRA worklog using convenient table,"Dashboard gadgets, Reports, Time tracking",Lime Trees,11,1,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1219535/worklog-history-pro?hosting=server&tab=overview,,,$10,$12,$15,$20,$50
Time Reports for Remote Jira,"Generate work log reports, aggregated from multiple Jira instances","Project management, Reports, Time tracking",Rozdoum,66,2,Get it now,,Free app,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1222519/time-reports-for-remote-jira?hosting=cloud&tab=overview,,,,,,,
